abaissant	mal-être	frustration	humiliation	figuré
abaissement	mal-être	frustration	humiliation	figuré
abaisser	mal-être	frustration	humiliation	figuré
abandon	mal-être	dépression	tristesse	figuré
abandonné	mal-être	dépression	tristesse	figuré
abandonnement	mal-être	dépression	tristesse	figuré
abandonner	mal-être	dépression	tristesse	figuré
abandonnique	mal-être	dépression	tristesse	figuré
abasourdir	surprise	surprise	surprise	figuré
abasourdissant	surprise	surprise	surprise	figuré
abasourdissement	surprise	surprise	surprise	figuré
abasourdi	surprise	surprise	surprise	figuré
abattement	mal-être	dépression	fatigue	propre
abattre	mal-être	dépression	fatigue	propre
abattu	mal-être	dépression	fatigue	propre
aberrant	mal-être	trouble	bouleversement	figuré
aberration	mal-être	trouble	bouleversement	figuré
abhorrer	malveillance	haine	ressentiment	propre
abîmé	mal-être	dépression	fatigue	figuré
abîmer	mal-être	dépression	fatigue	figuré
abjectement	malveillance	haine	dégoût	propre
abjection	malveillance	haine	dégoût	propre
abject	malveillance	haine	dégoût	propre
abominable	anxiété	crainte	terreur	propre
abominer	anxiété	crainte	terreur	propre
aboulie	mal-être	dépression	fatigue	propre
aboulique	mal-être	dépression	fatigue	propre
à bout de forces	mal-être	dépression	fatigue	figuré
à bout de	mal-être	dépression	fatigue	figuré
à bout de nerfs	mal-être	dépression	fatigue	figuré
à bout de souffle	mal-être	dépression	fatigue	figuré
à bout	mal-être	dépression	fatigue	figuré
abréaction	bien-être	satisfaction	défoulement	propre
abreuver	bien-être	satisfaction	assouvissement	figuré
abruti	mal-être	dépression	torpeur	propre
abrutir	mal-être	dépression	torpeur	propre
abrutissant	mal-être	dépression	torpeur	propre
abrutissement	mal-être	dépression	torpeur	propre
acariâtre	malveillance	haine	irritation	propre
acariâtreté	malveillance	haine	irritation	propre
accablant	mal-être	dépression	fatigue	propre
accablement	mal-être	dépression	fatigue	propre
accabler	mal-être	dépression	fatigue	propre
accalmie	sang-froid	calme	tranquillité	propre
accalmir	sang-froid	calme	tranquillité	propre
accès	mal-être	trouble	bouleversement	figuré
accidentel	mal-être	souffrance	drame	figuré
accidenter	mal-être	souffrance	drame	figuré
accident	mal-être	souffrance	drame	figuré
acclamation	bienveillance	affection	admiration	propre
acclamer	bienveillance	affection	admiration	propre
accointance	bienveillance	affection	amour	propre
accointer	bienveillance	affection	amour	propre
accoisement	sang-froid	calme	tranquillité	propre
accoiser	sang-froid	calme	tranquillité	propre
accort	bienveillance	gentillesse	bonté	propre
accorte	bienveillance	gentillesse	bonté	propre
accortise	bienveillance	gentillesse	bonté	propre
accrochage	non-specifié	non-specifié	non-specifié	figuré
accrocher	non-specifié	non-specifié	non-specifié	figuré
accroc	non-specifié	non-specifié	non-specifié	figuré
accueillant	bienveillance	gentillesse	bonté	propre
accueillante	bienveillance	gentillesse	bonté	propre
accuse le coup	mal-être	dépression	fatigue	figuré
accusé le coup	mal-être	dépression	fatigue	figuré
accuser le coup	mal-être	dépression	fatigue	figuré
à cent pieds sous terre	anxiété	crainte	timidité	figuré
acerbe	malveillance	haine	ressentiment	figuré
acerbité	malveillance	haine	ressentiment	figuré
acescence	malveillance	haine	ressentiment	figuré
acide	malveillance	haine	ressentiment	figuré
acidité	malveillance	haine	ressentiment	figuré
à coeur joie	bien-être	entrain	gaité	figuré
à contre-coeur	mal-être	trouble	remords	figuré
à cran	malveillance	haine	irritation	figuré
âcre	malveillance	haine	ressentiment	figuré
âcrement	malveillance	haine	ressentiment	figuré
âcreté	malveillance	haine	ressentiment	figuré
acrimonie	malveillance	haine	ressentiment	figuré
acrimonieusement	malveillance	haine	ressentiment	figuré
acrimonieux	malveillance	haine	ressentiment	figuré
actif	bien-être	entrain	vivacité	figuré
